Center_X_px,Center_Y_px,Diameter_μm,slide
357.0,469.0,15.42,z11
356.0,504.0,15.26,z10
274.0,310.0,15.26,z13
203.0,497.0,14.78,z12
167.0,39.0,14.67,z13
17.0,167.0,14.49,z13
34.0,376.0,14.32,z12
265.0,408.0,14.24,z12
429.0,3.0,13.89,z11
429.0,70.0,13.62,z04
36.0,184.0,13.62,z04
57.0,182.0,13.62,z04
133.0,416.0,13.32,z04
58.0,438.0,13.32,z04
60.0,253.0,13.32,z13
153.0,142.0,13.32,z13
284.0,486.0,13.22,z06
217.0,195.0,13.06,z11
40.0,399.0,12.93,z13
133.0,250.0,12.93,z04
357.0,455.0,12.71,z08
79.0,278.0,12.71,z13
347.0,175.0,12.58,z13
326.0,433.0,12.58,z04
6.0,88.0,12.31,z04
302.0,69.0,11.91,z04
49.0,153.0,11.68,z12
376.0,419.0,11.68,z05
123.0,114.0,10.77,z07
133.0,236.0,10.45,z09
