Center_X_px,Center_Y_px,Diameter_μm,slide
388.0,56.0,31.84,z_15
457.0,161.0,31.8,z_15
498.0,176.0,31.78,z_15
386.0,417.0,31.73,z_15
459.0,43.0,31.67,z_15
347.0,396.0,31.67,z_15
449.0,377.0,31.38,z_15
325.0,59.0,31.36,z_15
361.0,152.0,31.33,z_15
403.0,52.0,31.29,z_15
400.0,67.0,31.26,z_15
31.0,354.0,31.26,z_15
279.0,304.0,31.25,z_12
44.0,9.0,31.25,z_15
310.0,457.0,31.12,z_15
27.0,55.0,31.03,z_15
502.0,471.0,31.01,z_7
254.0,11.0,31.01,z_15
71.0,428.0,31.0,z_15
256.0,314.0,30.97,z_15
310.0,122.0,30.97,z_1
457.0,241.0,30.91,z_15
392.0,20.0,30.88,z_15
42.0,59.0,30.85,z_15
332.0,199.0,30.85,z_15
208.0,138.0,30.83,z_15
370.0,497.0,30.76,z_13
324.0,106.0,30.76,z_0
324.0,18.0,30.76,z_15
211.0,421.0,30.64,z_15
424.0,215.0,30.6,z_15
335.0,133.0,30.56,z_15
198.0,295.0,30.51,z_11
301.0,281.0,30.46,z_15
293.0,221.0,30.45,z_15
89.0,236.0,30.36,z_15
199.0,201.0,30.33,z_14
116.0,376.0,30.33,z_11
52.0,166.0,30.33,z_14
388.0,362.0,30.29,z_15
89.0,174.0,30.22,z_15
453.0,348.0,30.2,z_15
370.0,482.0,30.2,z_15
188.0,185.0,30.11,z_15
17.0,29.0,30.1,z_15
297.0,267.0,30.08,z_15
449.0,467.0,30.05,z_15
455.0,177.0,30.01,z_15
251.0,126.0,29.97,z_15
144.0,244.0,29.97,z_15
503.0,328.0,29.95,z_14
288.0,424.0,29.87,z_15
203.0,71.0,29.83,z_15
189.0,216.0,29.64,z_15
311.0,151.0,29.61,z_15
97.0,248.0,29.61,z_15
225.0,455.0,29.61,z_10
371.0,234.0,29.61,z_15
239.0,245.0,29.61,z_15
379.0,27.0,29.56,z_14
436.0,243.0,29.55,z_15
480.0,14.0,29.46,z_15
502.0,69.0,29.36,z_15
12.0,56.0,29.36,z_15
200.0,283.0,29.29,z_14
157.0,199.0,29.26,z_15
419.0,394.0,29.26,z_15
189.0,371.0,29.24,z_15
251.0,344.0,29.14,z_15
230.0,397.0,29.14,z_14
36.0,72.0,29.09,z_15
335.0,214.0,29.02,z_14
214.0,221.0,28.98,z_14
137.0,34.0,28.73,z_15
230.0,236.0,28.63,z_4
474.0,44.0,28.62,z_15
495.0,162.0,28.58,z_15
182.0,350.0,28.58,z_15
410.0,113.0,28.56,z_15
356.0,312.0,28.43,z_15
348.0,301.0,28.39,z_15
298.0,299.0,28.39,z_15
233.0,313.0,28.35,z_15
392.0,345.0,28.34,z_15
336.0,10.0,28.34,z_15
198.0,16.0,28.34,z_1
50.0,113.0,28.25,z_15
442.0,448.0,28.12,z_15
267.0,144.0,28.12,z_15
496.0,341.0,28.1,z_15
491.0,267.0,28.01,z_15
225.0,17.0,27.95,z_13
240.0,455.0,27.95,z_15
221.0,430.0,27.95,z_15
105.0,158.0,27.73,z_15
467.0,121.0,27.62,z_15
295.0,480.0,27.54,z_15
135.0,392.0,27.53,z_15
72.0,51.0,27.52,z_15
22.0,98.0,27.5,z_15
133.0,376.0,27.45,z_15
327.0,471.0,27.45,z_15
274.0,337.0,27.42,z_15
264.0,346.0,27.41,z_15
338.0,112.0,27.4,z_12
133.0,149.0,27.33,z_15
11.0,42.0,27.26,z_15
322.0,146.0,27.26,z_5
212.0,197.0,27.26,z_15
115.0,56.0,27.23,z_15
292.0,368.0,27.23,z_15
300.0,468.0,27.17,z_15
15.0,254.0,27.16,z_1
406.0,39.0,27.16,z_0
335.0,170.0,27.16,z_15
418.0,368.0,27.16,z_15
404.0,152.0,27.11,z_3
163.0,211.0,26.96,z_15
50.0,73.0,26.68,z_15
444.0,154.0,26.68,z_15
230.0,256.0,26.68,z_15
488.0,89.0,26.68,z_0
108.0,140.0,26.68,z_15
293.0,236.0,26.66,z_15
400.0,496.0,26.55,z_15
428.0,447.0,26.55,z_15
245.0,259.0,26.44,z_15
162.0,402.0,26.36,z_15
361.0,242.0,26.35,z_4
369.0,263.0,26.25,z_15
351.0,413.0,26.18,z_15
311.0,12.0,26.15,z_15
7.0,16.0,26.13,z_0
62.0,109.0,26.1,z_6
376.0,445.0,26.1,z_2
381.0,405.0,26.1,z_12
172.0,474.0,26.1,z_15
288.0,53.0,26.1,z_14
210.0,209.0,26.1,z_1
6.0,478.0,26.1,z_8
199.0,248.0,26.1,z_15
16.0,467.0,25.91,z_12
484.0,447.0,25.82,z_15
24.0,41.0,25.82,z_15
