Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
100,69.00,335.00,18.26,135.17,228.00,0.904
101,11.00,383.00,14.32,135.19,141.50,0.903
102,185.00,325.00,12.10,150.71,99.50,0.886
103,267.00,471.00,16.46,135.71,178.50,0.884
104,295.00,318.00,12.08,155.13,96.00,0.924
105,312.00,458.00,12.22,148.06,101.50,0.904
106,279.00,493.00,21.93,129.87,337.50,0.903
107,53.00,394.00,27.04,121.63,469.00,0.860
108,67.00,432.00,19.40,128.90,263.50,0.894
109,121.00,471.00,17.03,137.56,196.00,0.918
110,28.00,467.00,16.19,125.94,181.50,0.911
111,114.00,404.00,19.18,134.88,244.00,0.844
112,49.00,430.00,14.53,133.83,146.00,0.907
113,28.00,449.00,17.20,122.74,206.50,0.889
114,119.00,424.00,15.67,140.13,165.50,0.888
115,292.00,480.00,13.34,129.40,115.00,0.876
116,368.00,442.00,14.10,147.67,137.00,0.897
117,386.00,423.00,15.23,142.23,157.00,0.907
